age,balance,day,duration,campaign,pdays,previous,y,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,education_secondary,education_tertiary,education_unknown,default_yes,housing_yes,loan_yes,contact_telephone,contact_unknown,month_aug,month_dec,month_feb,month_jan,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep,poutcome_other,poutcome_success,poutcome_unknown
-1.0562696524273598,0.12107185807539463,0.3740520633526504,-0.7118608021259983,-0.5768294699140059,-0.4072182979332062,-0.3204128219555523,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
-0.7725828148853345,1.1186442967405494,-0.5960264557452027,-0.1691938897666138,-0.5768294699140059,2.9890440835684733,2.0417337219678915,0,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
-0.5834582565239843,-0.024144382996115262,0.010272618690955485,-0.3038984424799362,-0.5768294699140059,2.899143020528723,0.27012381402530866,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
-1.0562696524273598,0.017725746008484842,-1.5661049748430558,-0.25001662139460723,0.3879674348145256,-0.4072182979332062,-0.3204128219555523,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1.6860364438122186,-0.4727529080454021,-1.3235853450685926,-0.14610168073004423,-0.5768294699140059,-0.4072182979332062,-0.3204128219555523,0,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-0.5834582565239843,-0.22452285751813003,0.859091322901577,-0.47324130874811293,-0.255230501671162,1.3608359418485507,1.4511970859870305,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
-0.48889597734330914,-0.3707360064230828,-0.2322470110835078,0.2964989924708723,-0.5768294699140059,2.899143020528723,0.8606604500061695,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
-0.2052091398012838,-0.423904424206702,-1.202325530181361,-0.4347542936871637,-0.255230501671162,-0.4072182979332062,-0.3204128219555523,0,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
-0.016084581439933576,-0.3993140309817781,-0.2322470110835078,-0.7965322352600868,-0.255230501671162,-0.4072182979332062,-0.3204128219555523,0,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
0.17303997692141665,-0.5019955378263926,0.1315324335781871,0.18873535030021438,-0.5768294699140059,1.071154738720466,0.8606604500061695,0,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
